pID,X1,X2,Cluster
0,-11.828135,38.49011,1
1,39.136105,-3.9485679,1
2,-25.687252,37.49608,2
3,8.11774,37.56048,1
4,24.200146,-30.027252,1
5,42.707855,-9.409853,1
6,54.943615,-22.160845,1
7,-24.154583,-10.165991,1
8,-24.851894,-47.436127,1
9,-26.317421,23.024483,2
10,-25.90566,8.051245,2
11,-21.989813,37.80415,1
12,7.8374496,26.419046,1
13,-9.9416685,-42.167118,1
14,4.3294225,-57.809254,1
15,37.828342,8.090003,1
16,42.081627,-6.50772,1
17,7.291855,10.336414,1
18,-3.2564795,27.568773,1
19,3.5961843,-7.4831915,1
20,-25.486956,21.992174,2
21,-4.4892883,-43.182327,1
22,-4.165124,-56.498753,1
23,-21.488428,42.234417,1
24,-24.64359,22.169289,1
25,10.827247,-2.6299157,1
26,-19.728447,17.07034,1
27,6.060053,11.220328,1
28,-0.032123607,7.7574253,1
29,18.275517,-1.4413702,1
30,-14.589317,18.240522,1
31,-3.4434705,37.226048,1
32,17.376305,22.199713,3
33,37.629795,21.962406,3
34,40.250446,-23.798052,1
35,-8.015003,-41.690857,1
36,48.9692,-4.645663,1
37,7.9814897,25.0042,1
38,23.263832,14.821603,1
39,40.920845,-25.373203,1
40,-0.4115783,-41.048985,1
41,-14.895451,-45.72758,1
42,6.6636295,38.464996,1
43,6.2398915,12.795428,1
44,-32.16944,-49.35497,2
45,6.142425,29.120237,1
46,8.448352,25.506075,1
47,-19.575544,14.723853,1
48,-15.373804,18.314877,1
49,30.667583,13.988827,1
50,-13.191992,2.649035,1
51,-28.245556,-25.410213,2
52,-11.366763,-50.87538,1
53,56.634205,9.378987,1
54,51.996334,-29.117409,1
55,-22.546247,-9.431768,1
56,-27.053259,-45.56797,2
57,-1.3270992,38.801655,1
58,55.67833,10.49805,1
59,28.130459,-4.768238,1
60,-16.815397,14.699682,1
61,-15.250119,12.822055,1
62,-26.048141,23.065767,2
63,-13.902832,23.612238,1
64,-4.768126,-9.431348,1
65,50.39687,-7.4977746,1
66,54.824192,-21.442514,1
67,-11.813507,-14.633457,1
68,-30.79773,10.529778,2
69,-13.550113,-53.87523,1
70,40.194965,-19.36972,1
71,-7.2496743,-47.395424,1
72,2.186282,26.921278,1
73,-23.484798,15.694531,1
74,-22.554665,9.70216,1
75,55.084366,-27.87077,1
76,41.03745,-6.3426976,1
77,-13.437729,25.30902,1
78,64.01566,4.5984063,1
79,40.959805,23.400263,3
80,-11.925602,21.087555,1
81,-20.136515,-47.42297,1
82,3.7792485,-49.450073,1
83,20.383768,26.298029,3
84,-21.409426,18.779585,1
85,-23.716818,17.336802,1
86,-20.73637,14.727587,1
87,-17.385303,-6.7788906,1
88,-13.311468,-41.1921,1
89,40.82003,16.376568,1
90,59.37768,9.033672,1
91,-11.145477,-0.13776371,1
92,20.284887,-1.1390078,1
93,-16.281477,-15.295369,1
94,-23.728193,-3.6356058,1
95,-19.182802,16.990515,1
96,-30.646048,10.676926,2
97,-12.749849,-40.221916,1
98,-10.693954,13.020197,1
99,-27.654816,-0.022886883,2
100,-4.8821096,27.711443,1
101,23.711876,32.35594,3
102,3.219336,28.435608,1
103,12.546004,33.34183,1
104,-18.10296,2.9692879,1
105,0.8959713,-38.77082,1
106,41.44581,-19.522783,1
107,-24.002504,-3.6118982,1
108,40.897648,20.62812,3
109,-13.173277,28.198479,1
110,-11.866524,26.988932,1
111,-8.994535,5.485639,1
112,-15.32235,12.87529,1
113,-20.101768,-50.362995,1
114,-10.691999,-17.796206,1
115,-22.39977,1.8555038,1
116,-2.7450519,27.523132,1
117,4.9590454,-53.769596,1
118,-19.163313,36.24624,1
119,-33.189083,-8.050356,2
120,54.710888,-23.165777,1
121,-22.363317,15.567427,1
122,-12.620397,37.72752,1
123,6.842907,35.7505,1
124,5.995257,38.221107,1
125,38.709347,-2.2520044,1
126,-3.7738492,0.5638188,1
127,-81.73425,-1.4443219,2
128,-27.786644,-47.65601,2
129,-3.6078894,-11.376599,1
130,-8.603976,-9.709477,1
131,54.474136,-26.081434,1
132,43.287903,-8.076718,1
133,6.6035676,-5.063452,1
134,35.072624,27.177,3
135,-25.101881,-10.792416,2
136,-27.838411,13.135856,2
137,-9.472406,3.249345,1
138,-27.352953,-47.218834,2
139,-27.10326,-49.346447,2
140,30.161856,14.6154175,1
141,-25.241972,10.986786,2
142,-72.5873,1.3007485,2
143,1.0160745,7.9048805,1
144,-20.360666,16.735022,1
145,-9.397039,3.125945,1
146,-21.03062,-8.98787,1
147,47.522106,-11.149628,1
148,10.603169,4.7899694,1
149,-13.602435,-42.24062,1
150,12.026315,33.96028,1
151,64.64367,7.3267684,1
152,-14.231735,22.115637,1
153,-25.041275,-9.697318,2
154,-72.33418,1.2513512,2
155,63.167934,6.583394,1
156,-11.797161,-9.553064,1
157,30.753277,28.43738,3
158,-30.710142,-25.728344,2
159,34.980293,25.76647,3
160,41.808643,16.03425,1
161,-71.49964,13.364908,2
162,42.45918,-23.334982,1
163,38.877754,-2.980997,1
164,4.471331,-49.231308,1
165,0.38037202,-58.950863,1
166,-33.558754,-8.831263,2
167,18.084496,-42.702072,1
