pID,Cluster,Eating,Recreating,WorkPlace,TravelMinutes,NumActivities,Home,Leave Home,Come Back,joviality,Average Expenses,Average Income
0,1,21.02,63.89,343.46666666666664,224.56666666666666,5.08,787.9510022271714,380.0,1128.136645962733,0.001626703,1215.1226552692,8993.6445637825
1,1,14.8,90.06,343.46666666666664,150.6888888888889,5.31,835.5888888888888,455.0,1005.4968944099379,0.3280865,1409.3009904494,7894.7348088966
2,1,19.11,51.38,343.46666666666664,295.77777777777777,5.25,724.7772828507796,360.0,987.888198757764,0.39346959,1224.2456412077,6961.9335703603
3,1,20.18,83.98,343.46666666666664,168.6,5.21,824.5879732739421,385.0,1023.3229813664597,0.138063446,1288.4742890078,6729.5941199284
4,1,19.33,105.78,347.05555555555554,107.42222222222222,5.71,861.7037861915368,420.27950310559004,978.4782608695652,0.857396691,2208.817309369,9005.0779689468
5,1,9.29,76.18,343.46666666666664,233.8,4.46,775.4,475.0,1025.0931677018634,0.772957791,1399.2139621384,1872.594716016
6,1,8.88,134.56,343.16258351893094,152.05555555555554,5.43,800.9888888888889,405.0,925.0934579439253,0.833980668,1551.4399595922,1891.3161147625
7,1,34.1,71.96,347.0444444444444,207.24444444444444,6.97,772.8222222222222,460.0,1010.0,0.958189409,2054.3876713919,5951.3598895751
8,1,31.28,91.66,343.46666666666664,88.83333333333333,6.81,882.6666666666666,425.0,945.0,0.697554819,2191.3720732819,3618.13877179
9,1,20.31,67.1,347.05555555555554,244.9,5.35,759.8775055679288,405.0,1013.3540372670808,0.467131409,1349.3352867556,12503.2584220165
10,1,30.44,44.66,343.46666666666664,215.9777777777778,5.6,803.0066815144767,400.0,1068.167701863354,0.557176006,1249.4144441254,6488.9731992812
11,1,21.9,71.6,343.46666666666664,236.22222222222223,5.66,761.7888888888889,350.0,1027.329192546584,0.25422732,1371.7376049525,6585.2912396733
12,1,21.2,77.4,343.16258351893094,146.5,5.31,851.1469933184856,430.0,1050.0,0.241615182,1409.0377128538,6251.6070607053
13,1,28.87,94.49,343.46666666666664,127.85555555555555,6.96,841.2666666666667,455.0,995.0,0.724503834,2371.6728455138,5717.4365973097
14,1,27.64,90.04,343.46666666666664,67.54444444444445,6.44,910.4899777282851,525.0,1043.4006211180124,0.930003289,2060.3154281865,7112.0002081485
15,1,20.04,84.93,346.73719376391983,131.0222222222222,5.18,859.6875,390.0,988.2398753894081,0.232266068,1251.7570089604,6183.097766749
16,1,18.11,68.08,345.8888888888889,166.1888888888889,4.94,840.0333333333333,430.0,1007.0807453416149,0.392189088,1227.779452712,9596.2122653948
17,1,20.0,71.84,343.46666666666664,126.4,4.9,878.0846325167038,485.0,1083.276397515528,0.114667399,1293.3542731236,17349.2769288398
18,1,21.2,63.61,343.46666666666664,203.7888888888889,4.94,806.7371937639198,450.0,1138.1211180124224,0.32696558,1375.3608638579,17368.9764256826
19,1,23.32,90.79,343.46666666666664,132.3,5.9,848.7639198218263,515.0,1061.4906832298136,0.486470164,1497.4497130725,8917.6927177251
20,1,21.26,78.66,343.46666666666664,267.4,5.99,727.0555555555555,405.0,1055.1552795031057,0.619057739,1390.3961480328,5863.0259820607
21,1,22.2,154.68,343.46666666666664,136.05555555555554,7.15,782.3222222222222,470.0,1014.1614906832298,0.931240975,1772.3657159788,2380.4719329288
22,1,28.43,99.37,347.0444444444444,71.67777777777778,6.48,891.6666666666666,495.0,1025.0,0.663815663,1950.719154004,3393.7605440177
23,1,22.44,108.22,343.16258351893094,276.9111111111111,6.0,686.0022271714922,315.0,1043.0685358255453,0.260211811,1656.1438638977,5102.9957910048
24,1,13.12,69.16,343.46666666666664,310.4222222222222,5.1,699.5991091314031,430.0,1058.8354037267081,0.607328128,1289.4065966952,7986.2130347423
25,1,21.94,44.55,343.46666666666664,155.7,4.92,872.8953229398663,475.0,1063.2919254658384,0.520535752,1303.6656832695,5745.6759381499
26,1,23.94,93.9,343.46666666666664,267.18888888888887,6.41,708.1777777777778,485.0,1057.5310559006211,0.549177225,1531.252114363,5386.8401595348
27,1,20.53,70.65,343.46666666666664,142.96666666666667,4.97,861.5812917594654,470.0,1088.245341614907,0.135148815,1348.203096512,6134.1964288576
28,1,20.36,102.09,343.46666666666664,175.34444444444443,6.05,796.2666666666667,460.0,1075.0,0.230073813,1522.8026199401,13447.2400981765
29,1,19.69,78.97,343.46666666666664,142.37777777777777,5.12,855.8240534521158,410.0,1043.2298136645963,0.607853294,1263.9466768979,4496.5233993104
30,1,27.16,113.29,352.33853006681517,192.53333333333333,6.8,753.2777777777778,484.984520123839,1114.2414860681115,0.681423545,2070.2555868915,2306.8938884382
31,1,20.93,50.4,343.46666666666664,204.95555555555555,4.62,819.2204899777283,390.0,1098.0900621118012,0.23266675,1332.388802102,14686.2196652684
32,1,20.76,43.38,343.46666666666664,130.57777777777778,4.42,901.6815144766147,445.0,1073.1832298136646,0.189498641,1195.969571517,5971.5631832008
33,1,20.71,36.52,343.46666666666664,116.02222222222223,4.26,922.6280623608018,420.0,1018.276397515528,0.094585958,1195.1314784491,11928.7660490527
34,1,12.13,127.68,343.46666666666664,124.62222222222222,5.27,830.6333333333333,520.0310559006211,1028.4627329192547,0.767112453,2154.2587900774,4220.0299879829
35,1,29.69,96.77,347.0444444444444,144.13333333333333,6.76,819.4333333333333,475.0,1025.0,0.707950782,1646.6030659971,2013.0018553933
36,1,12.14,64.28,343.46666666666664,175.56666666666666,4.04,842.5666666666667,395.0,946.3975155279503,0.348019484,1300.7178368212,14460.1636304441
37,1,20.09,88.87,347.05555555555554,158.8,5.54,823.0777777777778,415.0,1035.1242236024846,0.174975799,1398.9503810092,5967.4504141022
38,1,20.62,71.05,343.46666666666664,119.7,4.95,884.543429844098,450.0,1028.307453416149,0.215116214,1376.6764602154,4958.3636771145
39,1,12.27,120.44,343.16258351893094,89.65555555555555,5.47,874.2444444444444,510.0,1000.0,0.862950926,1655.2566462113,3911.4579049039
40,1,28.18,118.37,343.47777777777776,162.1,7.02,786.6888888888889,487.1273291925466,1067.8105590062112,0.880410054,1651.9183143027,2217.501604211
41,1,28.76,83.21,343.46666666666664,118.37777777777778,6.32,865.478841870824,450.0,988.3695652173913,0.863663966,1576.4845329207,2025.340072225
42,1,20.27,59.64,343.46666666666664,182.67777777777778,4.68,833.0957683741648,375.0,1023.3074534161491,0.055283617,1265.1007424451,5756.9039813089
43,1,21.16,87.13,343.46666666666664,165.5222222222222,5.36,821.6146993318486,485.0,1113.2142857142858,0.045228735,1465.0747949199,11619.0407289167
44,1,36.25,0.0,318.3333333333333,77.5,4.0,1085.0,410.0,970.0,0.976499153,1440.3651980957,3592.7587207798997
45,1,20.53,58.97,343.46666666666664,154.65555555555557,4.79,862.0935412026726,415.0,1073.1832298136646,0.179657824,1243.1130582992,14266.9905664328
46,1,20.8,78.31,343.46666666666664,150.63333333333333,5.25,845.4008908685969,405.0,1033.3385093167701,0.225049088,1442.7560398183,5702.2514313493
47,1,29.87,52.46,347.0444444444444,225.37777777777777,5.94,782.1380846325167,465.0,1063.2608695652175,0.424159724,1374.1319282199,5290.6927768195
48,1,32.36,71.91,347.0444444444444,206.06666666666666,6.8,775.5,485.0,1135.0,0.485827661,1553.5554122298,5149.6343971531
49,1,20.22,50.13,343.46666666666664,106.12222222222222,4.58,919.3541202672606,430.0,1008.4006211180124,0.229589642,1228.95467297,14142.1154565118
50,1,18.91,117.1,346.0111111111111,200.88888888888889,6.06,756.8930957683741,420.0,1046.6459627329193,0.576174771,1556.9336735936,5084.6342377101
51,1,30.93,62.96,343.46666666666664,113.36666666666666,6.19,885.8463251670379,415.0,993.3074534161491,0.374354513,1440.1167409035,13096.7287989503
52,1,29.78,96.89,347.0444444444444,100.28888888888889,6.72,864.2873051224944,475.0,1003.3695652173913,0.730126771,1943.6487645577,2701.0280311428
53,1,13.87,65.02,343.46666666666664,109.6,4.78,902.6666666666666,485.0,1005.0931677018633,0.140697641,1269.5372127813,4308.1850018342
54,1,10.91,121.39,343.46666666666664,55.855555555555554,5.12,909.3763919821827,455.0,943.7422360248447,0.778504463,2431.8703031392,8254.7213743876
55,1,30.22,74.69,347.0444444444444,195.11111111111111,6.39,786.5333333333333,465.0,1035.0,0.770806686,1648.9889734134,2063.8160290567
56,1,27.16,83.15,343.46666666666664,89.92222222222222,6.01,896.5256124721603,425.0,953.4937888198758,0.734056857,1946.2661688769,3536.6185318336
57,1,19.73,66.32,343.46666666666664,196.8,5.11,813.1403118040089,405.0,1063.167701863354,0.422849796,1376.141545826,11241.347955306
58,1,13.96,55.97,343.46666666666664,127.78888888888889,4.14,896.4111111111112,475.0,1015.0931677018633,0.192945633,1232.1081209345,13932.8864975894
59,1,12.89,72.92,343.47777777777776,168.7888888888889,4.47,840.8555555555556,440.0,1050.1242236024846,0.186308253,1303.0258068207,11329.7344321583
60,1,27.2,81.24,343.46666666666664,197.33333333333334,6.38,786.6777777777778,480.0,1089.1304347826087,0.411129251,1601.5227053618,4956.1382755706
61,1,23.17,53.45,347.03333333333336,209.8111111111111,5.47,803.8641425389756,490.0,1068.0745341614906,0.598278749,1478.8925087842,4988.709797231
62,1,20.09,55.12,343.46666666666664,255.5222222222222,4.91,765.1224944320712,390.0,1058.2608695652175,0.491406814,1361.6369448008,7624.1639071329
63,1,23.82,78.38,343.46666666666664,255.57777777777778,5.88,735.4222222222222,450.0,1174.5652173913043,0.583943591,1550.2102193887,4926.8238172983
64,1,33.29,62.15,347.0444444444444,144.27777777777777,6.52,847.8285077951002,500.0,1058.2919254658384,0.330606159,1568.5475256099,4715.0381203838
65,1,12.25,79.56,343.46666666666664,131.0,4.71,871.6035634743876,420.0,948.555900621118,0.498178653,1433.9669467125,4654.2278574803
66,1,8.6,132.21,343.46666666666664,176.1,5.29,778.6,430.0,920.3726708074535,0.773765426,2396.302626331,6537.4284190863
