pID,X1,X2,Cluster
0,3.686741,13.409917,1
1,9.458517,-1.3348436,1
2,-1.0407165,11.725231,1
3,2.894204,9.016865,1
4,7.698636,-11.793175,1
5,7.42914,-0.66919047,1
6,12.200909,-7.5342712,1
7,-11.1227865,5.019993,1
8,-9.790247,-7.8246636,1
9,-1.9040213,10.40128,1
10,-5.8015876,6.3102884,1
11,0.5036066,11.803092,1
12,5.23292,7.5062013,1
13,-6.0948277,-7.0208006,1
14,-0.54259574,-10.489184,1
15,11.3963,0.4793622,1
16,9.563529,-0.5923893,1
17,6.3307652,3.8567307,1
18,5.730126,12.690001,1
19,0.91914374,-1.16623,1
20,-3.9080932,9.27112,1
21,-4.140245,-7.119966,1
22,-2.9286044,-9.888125,1
23,-0.10124895,13.2739525,1
24,-3.1680498,9.937287,1
25,3.5343711,0.4809831,1
26,-3.7934463,8.110443,1
27,6.4290824,4.905383,1
28,2.9688854,4.5331097,1
29,8.529544,0.6704347,1
30,-2.6051328,5.121561,1
31,4.218003,11.809649,1
32,9.140801,6.292753,1
33,13.0039015,4.1667576,1
34,6.3894386,-6.79948,1
35,-4.3609133,-6.2834206,1
36,12.47705,-2.6139975,1
37,4.19699,7.984358,1
38,10.309472,3.341387,1
39,6.7471514,-7.833399,1
40,-2.4814584,-6.4330363,1
41,-7.4478707,-7.787135,1
42,2.6699378,9.640718,1
43,5.0555015,5.2733245,1
44,-12.449485,-9.116342,1
45,6.251076,8.822793,1
46,4.193603,8.243327,1
47,-4.1117187,7.1149607,1
48,-2.5277693,5.5700536,1
49,12.777407,2.9687243,1
50,-4.1226845,4.7861576,1
51,-9.180039,-2.4716702,1
52,-5.5086465,-8.565106,1
53,16.211117,0.1552148,1
54,9.916261,-9.723446,1
55,-4.9598665,2.6715813,1
56,-10.057403,-7.7092514,1
57,3.8626559,10.463261,1
58,16.194233,0.41913426,1
59,6.8551364,5.9900136,1
60,-1.9274565,4.9137583,1
61,-0.9812469,4.4303045,1
62,-1.4591067,10.986382,1
63,-2.1094224,7.922098,1
64,-1.4321659,-1.1621512,1
65,12.537826,-3.5658178,1
66,12.183004,-7.285869,1
67,-4.434164,-0.22171517,1
68,-7.4037933,4.948755,1
69,-6.5636787,-10.162581,1
70,8.1867485,-8.1837635,1
71,-4.899845,-8.457201,1
72,5.7424636,8.657664,1
73,-6.0196433,7.87131,1
74,-5.2580056,5.561312,1
75,11.111897,-9.030295,1
76,3.339338,6.7612605,1
77,-2.4754536,7.9979234,1
78,18.7811,-0.16199464,1
79,16.01499,4.6691103,1
80,-1.2897837,6.6419406,1
81,-8.509832,-8.246633,1
82,-2.3821554,-8.419014,1
83,10.157425,8.537188,1
